Case Number,Law Enforcement Case Number,Date of Crash,Y-Coordinate (UTM NAD 83 Zone 15),X-Coordinate (UTM NAD 83 Zone 15),Time,Day of Week,County,Road System,Route,Cardinal Direction of Vehicles,Mainline or Ramp,Overpass/Underpass Information,Derived Literal Description,Road Classification,Intersection Class,Crash Severity,Amount of Property Damage,Major Cause,Drug or Alcohol Related,Driver Age,Driver Age - 5 year Bins,Driver Gender
20191128601,2019006465,20190702,4616116,622629,02:33,Tuesday,Johnson,Interstate,80,Eastbound (EB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,8000,Improper or erratic lane changing,Alcohol (Statutory),200,,Not reported
20191128601,2019006465,20190702,4616116,622629,02:33,Tuesday,Johnson,Interstate,80,Eastbound (EB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,8000,Improper or erratic lane changing,Alcohol (Statutory),33,>= 30 and <= 34,Female
20191128633,18-0800,20190813,4604379,456924,00:29,Tuesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FAIRVIEW DR,Municipal Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,20000,Exceeded authorized speed,Alcohol (Statutory),200,,Not reported
20191128633,18-0800,20190813,4604379,456924,00:29,Tuesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FAIRVIEW DR,Municipal Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,20000,Exceeded authorized speed,Alcohol (Statutory),50,>= 50 and <= 54,Male
20191128703,201910398,20190629,4645748,608220,19:29,Saturday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,WILSON AVE SW,Municipal Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,6000,Lost control,Alcohol (Statutory),49,>= 45 and <= 49,Male
20191128744,2019-002384,20190808,4719468,686137,17:47,Thursday,Dubuque,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CIRCLE RIDGE RD,Secondary Road,Not Indicated as an Intersection,Property Damage Only,8450,Ran off road - left,Refused,33,>= 30 and <= 34,Male
20191128776,19007061,20190815,4699471,591282,23:01,Thursday,Buchanan,Iowa Route,150,Southbound (SB),Mainline,Not reported,IA 150/JAMESTOWN AVE,Iowa Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,25000,Lost control,Alcohol (Statutory),47,>= 45 and <= 49,Male
20191128836,20190025692,20190816,4604776,442181,18:32,Friday,Polk,Interstate,235,No Travel Direction Consistent with Route,Mainline,On underpass,I-235 & 56TH ST,Interstate,Interstate - Municipal,Property Damage Only,7000,Followed too close,Alcohol (Statutory),48,>= 45 and <= 49,Male
20191128836,20190025692,20190816,4604776,442181,18:32,Friday,Polk,Interstate,235,No Travel Direction Consistent with Route,Mainline,On underpass,I-235 & 56TH ST,Interstate,Interstate - Municipal,Property Damage Only,7000,Followed too close,Alcohol (Statutory),56,>= 55 and <= 59,Male
20191128844,19-6068,20190817,4617079,435541,02:52,Saturday,Polk,Iowa Route,141,No Travel Direction Consistent with Route,Mainline,Not reported,IA 141/IOWA 141 & NE 18TH ST,Iowa Route,IA Route - Secondary,Property Damage Only,4650,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),52,>= 50 and <= 54,Female
20191128845,20190025712,20190816,4602856,447918,21:20,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SW 9TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3000,Ran off road - right,Refused,32,>= 30 and <= 34,Male
20191128845,20190025712,20190816,4602856,447918,21:20,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SW 9TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,3000,Ran off road - right,Refused,22,>= 21 and <= 24,Male
20191128851,19-013478,20190817,4571829,258852,01:20,Saturday,Pottawattamie,US Route,6,Westbound (WB),Mainline,Not reported,US 6/W BROADWAY,US Route,Not Indicated as an Intersection,Property Damage Only,3500,Driving too fast for conditions,Alcohol (Statutory),22,>= 21 and <= 24,Not reported
20191128851,19-013478,20190817,4571829,258852,01:20,Saturday,Pottawattamie,US Route,6,Westbound (WB),Mainline,Not reported,US 6/W BROADWAY,US Route,Not Indicated as an Intersection,Property Damage Only,3500,Driving too fast for conditions,Alcohol (Statutory),21,>= 21 and <= 24,Female
20191128870,19-01958,20190813,4609281,439465,15:42,Tuesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,AIRLINE AVE & 79TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,8500,Ran stop sign,Alcohol (< Statutory),36,>= 35 and <= 39,Not reported
20191128870,19-01958,20190813,4609281,439465,15:42,Tuesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,AIRLINE AVE & 79TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,8500,Ran stop sign,Alcohol (< Statutory),26,>= 25 and <= 29,Male
20191128878,19020071,20190816,4655178,615931,22:42,Friday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,10TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,7000,Driver Distraction:  Inattentive/lost in thought,Alcohol (Statutory),200,,Not reported
20191128878,19020071,20190816,4655178,615931,22:42,Friday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,10TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,7000,Driver Distraction:  Inattentive/lost in thought,Alcohol (Statutory),30,>= 30 and <= 34,Male
20191128896,19-04282,20190817,4604893,435220,22:46,Saturday,Polk,Interstate,35,Southbound (SB),Mainline,Not reported,I-35,Interstate,Not Indicated as an Intersection,Suspected Minor Injury Crash,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),66,>= 65 and <= 69,Male
20191128915,19021734,20190817,4559386,530751,00:08,Saturday,Mahaska,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MERINO AVE,Secondary Road,Not Indicated as an Intersection,Property Damage Only,2000,Driver Distraction:  Inattentive/lost in thought,Alcohol (Statutory),29,>= 25 and <= 29,Male
20191128921,2019-29863,20190817,4608855,702849,21:30,Saturday,Scott,US Route,61,Southbound (SB),Mainline,Not reported,US 61/BRADY ST,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,17585,Ran off road - right,Refused,34,>= 30 and <= 34,Male
20191128934,S19-002135,20190818,4593610,304872,00:08,Sunday,Pottawattamie,US Route,59,Northbound (NB),Mainline,Not reported,US 59/S WALNUT ST & S CHESTNUT ST,US Route,US Route - Municipal,Suspected Serious Injury Crash,5000,Ran off road - right,Alcohol (Statutory),41,>= 40 and <= 44,Male
20191128935,S19-002138,20190818,4566842,314618,20:53,Sunday,Pottawattamie,Iowa Route,92,Eastbound (EB),Mainline,Not reported,IA 92/IOWA 92,Iowa Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,2000,Ran off road - right,Under Influence of Alcohol/Drugs/Medications,53,>= 50 and <= 54,Male
20191128942,W19-067207,20190818,4707224,552358,01:15,Sunday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,LONGFELLOW AVE,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,3000,Exceeded authorized speed,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191128974,19-025836,20190801,4498443,638734,19:43,Thursday,Lee,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,AVE O,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2200,Exceeded authorized speed,Refused,31,>= 30 and <= 34,Male
20191128982,19-0842,20190818,4605523,462040,13:39,Sunday,Polk,Iowa Route,163,Eastbound (EB),Mainline,Not reported,IA 163/NE UNIVERSITY AVE,Iowa Route,Not Indicated as an Intersection,Property Damage Only,7000,Followed too close,Refused,29,>= 25 and <= 29,Male
20191128982,19-0842,20190818,4605523,462040,13:39,Sunday,Polk,Iowa Route,163,Eastbound (EB),Mainline,Not reported,IA 163/NE UNIVERSITY AVE,Iowa Route,Not Indicated as an Intersection,Property Damage Only,7000,Followed too close,Refused,64,>= 60 and <= 64,Female
20191129051,CL1901022,20190818,4775842,468919,15:06,Sunday,Cerro Gordo,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,1ST AVE S,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2500,Ran stop sign,Alcohol (Statutory),77,>= 75 and <= 79,Female
20191129051,CL1901022,20190818,4775842,468919,15:06,Sunday,Cerro Gordo,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,1ST AVE S,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2500,Ran stop sign,Alcohol (Statutory),63,>= 60 and <= 64,Male
20191129054,20190025823,20190817,4599278,455017,19:07,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SE BROOKS DR,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,5100,Exceeded authorized speed,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191129063,20190025926,20190818,4606196,442247,17:20,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,55TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Unknown,Alcohol (< Statutory),36,>= 35 and <= 39,Male
20191129070,20190025956,20190818,4597354,450211,23:50,Sunday,Polk,US Route,69,Southbound (SB),Mainline,Not reported,US 69/SE 14TH ST & E ARMY POST RD,US Route,US Route - Municipal,Possible/Unknown Injury Crash,4684,Other,Alcohol (Statutory),33,>= 30 and <= 34,Female
20191129070,20190025956,20190818,4597354,450211,23:50,Sunday,Polk,US Route,69,Southbound (SB),Mainline,Not reported,US 69/SE 14TH ST & E ARMY POST RD,US Route,US Route - Municipal,Possible/Unknown Injury Crash,4684,Other,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191129081,2019020954,20190802,4703885,656964,13:50,Friday,Dubuque,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,OLDE HAWKEYE RD,Secondary Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,5000,Ran off road - right,Under Influence of Alcohol/Drugs/Medications,23,>= 21 and <= 24,Male
20191129083,2019021393,20190808,4613808,636701,19:23,Thursday,Cedar,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Suspected Serious Injury Crash,2000,Lost control,Alcohol (< Statutory),33,>= 30 and <= 34,Male
20191129084,2019021555,20190811,4599612,703103,01:18,Sunday,Scott,US Route,67,Northbound (NB),Mainline,Not reported,US 67/E RIVER DR & E 3RD ST,US Route,US Route - Municipal,Possible/Unknown Injury Crash,21000,Failed to yield to emergency vehicle,Alcohol (Statutory),23,>= 21 and <= 24,Male
20191129084,2019021555,20190811,4599612,703103,01:18,Sunday,Scott,US Route,67,Northbound (NB),Mainline,Not reported,US 67/E RIVER DR & E 3RD ST,US Route,US Route - Municipal,Possible/Unknown Injury Crash,21000,Failed to yield to emergency vehicle,Alcohol (Statutory),21,>= 21 and <= 24,Female
20191129084,2019021555,20190811,4599612,703103,01:18,Sunday,Scott,US Route,67,Northbound (NB),Mainline,Not reported,US 67/E RIVER DR & E 3RD ST,US Route,US Route - Municipal,Possible/Unknown Injury Crash,21000,Failed to yield to emergency vehicle,Alcohol (Statutory),24,>= 21 and <= 24,Male
20191129087,2019021761,20190812,4720404,460637,23:17,Monday,Franklin,Interstate,35,Southbound (SB),Mainline,Not reported,I-35,Interstate,Not Indicated as an Intersection,Property Damage Only,11000,Driving too fast for conditions,Refused,16,= 16,Female
20191129087,2019021761,20190812,4720404,460637,23:17,Monday,Franklin,Interstate,35,Southbound (SB),Mainline,Not reported,I-35,Interstate,Not Indicated as an Intersection,Property Damage Only,11000,Driving too fast for conditions,Refused,29,>= 25 and <= 29,Not reported
20191129110,201913322,20190817,4648428,610490,21:05,Saturday,Linn,Iowa Route,922,No Travel Direction Consistent with Route,Mainline,On underpass,IA 922/1ST AVE E & 4TH ST NE,Iowa Route,IA Route - Municipal,Property Damage Only,8000,Other,Refused,200,,Not reported
20191129110,201913322,20190817,4648428,610490,21:05,Saturday,Linn,Iowa Route,922,No Travel Direction Consistent with Route,Mainline,On underpass,IA 922/1ST AVE E & 4TH ST NE,Iowa Route,IA Route - Municipal,Property Damage Only,8000,Other,Refused,53,>= 50 and <= 54,Male
20191129110,201913322,20190817,4648428,610490,21:05,Saturday,Linn,Iowa Route,922,No Travel Direction Consistent with Route,Mainline,On underpass,IA 922/1ST AVE E & 4TH ST NE,Iowa Route,IA Route - Municipal,Property Damage Only,8000,Other,Refused,200,,Not reported
20191129124,19-001485,20190817,4611984,458679,22:24,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ADVENTURELAND DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5500,Unknown,Alcohol (Statutory),50,>= 50 and <= 54,Female
20191129124,19-001485,20190817,4611984,458679,22:24,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ADVENTURELAND DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5500,Unknown,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191129140,19-004565,20190816,4619812,449493,17:00,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SW 4TH ST & SW CHERRY ST,Municipal Road,Municipal - Municipal,Property Damage Only,4000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),43,>= 40 and <= 44,Male
20191129140,19-004565,20190816,4619812,449493,17:00,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SW 4TH ST & SW CHERRY ST,Municipal Road,Municipal - Municipal,Property Damage Only,4000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),67,>= 65 and <= 69,Male
20191129154,MC1903388,20190817,4776188,484805,22:07,Saturday,Cerro Gordo,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,14TH ST SE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191129154,MC1903388,20190817,4776188,484805,22:07,Saturday,Cerro Gordo,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,14TH ST SE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),42,>= 40 and <= 44,Male
20191129168,19-001117,20190817,4652193,467435,10:07,Saturday,Story,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd E41/LINCOLN HWY,Secondary Road,Not Indicated as an Intersection,Property Damage Only,3500,Driver Distraction:  Inattentive/lost in thought,Alcohol (Statutory),23,>= 21 and <= 24,Male
20191129192,19-010559,20190714,4650788,554763,16:45,Sunday,Tama,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd E44/HWY E44,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,6000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),26,>= 25 and <= 29,Male
20191129211,19-014904,20190819,4765950,590581,23:03,Monday,Fayette,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,OAK RD,Secondary Road,Not Indicated as an Intersection,Property Damage Only,1500,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),20,= 20,Not reported
20191129239,19-1491,20190820,4654273,403397,02:35,Tuesday,Greene,US Route,30,Eastbound (EB),Mainline,Not reported,US 30/220TH,US Route,Not Indicated as an Intersection,Property Damage Only,14000,Driving too fast for conditions,Alcohol (Statutory),24,>= 21 and <= 24,Not reported
20191129342,19065716,20190813,4709643,545204,01:30,Tuesday,Black Hawk,Iowa Route,57,Westbound (WB),Mainline,Not reported,IA 57/1ST ST & FRANKLIN ST & CENTER ST,Iowa Route,IA Route - Municipal,Suspected Serious Injury Crash,11000,Exceeded authorized speed,Under Influence of Alcohol/Drugs/Medications,33,>= 30 and <= 34,Male
20191129355,192846,20190816,4732331,482921,14:25,Friday,Franklin,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,1ST ST NW,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,3250,FTYROW:  From parked position,Refused,54,>= 50 and <= 54,Female
20191129355,192846,20190816,4732331,482921,14:25,Friday,Franklin,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,1ST ST NW,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,3250,FTYROW:  From parked position,Refused,37,>= 35 and <= 39,Male
20191129385,2019-68599,20190817,4598880,701023,02:24,Saturday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MARQUETTE ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,50000,Exceeded authorized speed,Alcohol (Statutory),33,>= 30 and <= 34,Male
20191129393,2019-69338,20190819,4605299,699496,18:29,Monday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W 53RD ST & KELLING ST,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,42,>= 40 and <= 44,Male
20191129393,2019-69338,20190819,4605299,699496,18:29,Monday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W 53RD ST & KELLING ST,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,63,>= 60 and <= 64,Male
20191129405,20190026010,20190819,4603353,446246,12:03,Monday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MLK JR PKWY & FLEUR DR,Municipal Road,Municipal - Municipal,Property Damage Only,11000,Made improper turn,Alcohol (Statutory),56,>= 55 and <= 59,Male
20191129405,20190026010,20190819,4603353,446246,12:03,Monday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MLK JR PKWY & FLEUR DR,Municipal Road,Municipal - Municipal,Property Damage Only,11000,Made improper turn,Alcohol (Statutory),35,>= 35 and <= 39,Female
20191129448,2019008320,20190819,4612426,624456,21:32,Monday,Johnson,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FRIENDSHIP ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,20547,Other,Alcohol (Statutory),200,,Not reported
20191129448,2019008320,20190819,4612426,624456,21:32,Monday,Johnson,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FRIENDSHIP ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,20547,Other,Alcohol (Statutory),52,>= 50 and <= 54,Male
20191129470,2019022486,20190819,4596967,296396,18:06,Monday,Pottawattamie,Interstate,80,Eastbound (EB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Suspected Serious Injury Crash,4000,Ran off road - left,Alcohol (Statutory),41,>= 40 and <= 44,Male
20191129514,SO19000119,20190813,4783670,585222,22:55,Tuesday,Winneshiek,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S MAIN ST,Secondary Road,Not Indicated as an Intersection,Suspected Serious Injury Crash,5300,Ran stop sign,Alcohol (Statutory),20,= 20,Male
20191129522,WSO1903113,20190819,4794512,601921,16:26,Monday,Winneshiek,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd A52/OLD STAGE RD & Co Rd A6W/RIVER RD,Secondary Road,Secondary - Secondary,Suspected Minor Injury Crash,8500,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),65,>= 65 and <= 69,Male
20191129555,19012859,20190821,4627457,639933,17:25,Wednesday,Cedar,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd F28/210TH,Secondary Road,Not Indicated as an Intersection,Property Damage Only,20000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,35,>= 35 and <= 39,Male
20191129576,2019-69725,20190820,4600668,702751,23:28,Tuesday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 12TH ST & IOWA ST,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,3000,Lost control,Alcohol (Statutory),31,>= 30 and <= 34,Female
20191129576,2019-69725,20190820,4600668,702751,23:28,Tuesday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 12TH ST & IOWA ST,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,3000,Lost control,Alcohol (Statutory),200,,Not reported
20191129594,S019-00867,20190817,4653048,502395,17:21,Saturday,Marshall,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd E41/MARSHALLTOWN BLVD,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,38200,Ran off road - right,Alcohol (Statutory),31,>= 30 and <= 34,Male
20191129613,4519-049,20190817,4789022,571369,00:04,Saturday,Howard,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd V58/WILLOW AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,12200,Ran off road - left,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191129694,W19-068268,20190821,4701286,553255,20:40,Wednesday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FAIRLANE AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5000,Other,Alcohol (Statutory),200,,Not reported
20191129694,W19-068268,20190821,4701286,553255,20:40,Wednesday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FAIRLANE AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5000,Other,Alcohol (Statutory),46,>= 45 and <= 49,Male
20191129729,C19003206,20190810,4616739,615507,22:36,Saturday,Johnson,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,5000,Driver Distraction:  Other interior distraction,Refused,63,>= 60 and <= 64,Male
20191129729,C19003206,20190810,4616739,615507,22:36,Saturday,Johnson,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,5000,Driver Distraction:  Other interior distraction,Refused,24,>= 21 and <= 24,Female
20191129739,20190026458,20190823,4608862,443553,01:00,Friday,Polk,US Route,6,Westbound (WB),Mainline,Not reported,US 6/DOUGLAS AVE,US Route,Not Indicated as an Intersection,Property Damage Only,2100,Driver Distraction:  Other interior distraction,Alcohol (Statutory),59,>= 55 and <= 59,Female
20191129744,J19000787,20190817,4610430,630871,02:50,Saturday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd F46/AMERICAN LEGION RD,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,6400,Ran off road - right,Alcohol (Statutory),31,>= 30 and <= 34,Female
20191129745,W19-068651,20190823,4705784,550318,00:56,Friday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CARRIAGE HILL DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,16000,Other,Alcohol (Statutory),200,,Not reported
20191129745,W19-068651,20190823,4705784,550318,00:56,Friday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,CARRIAGE HILL DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,16000,Other,Alcohol (Statutory),22,>= 21 and <= 24,Female
20191129792,19-27757,20190822,4705883,223812,03:24,Thursday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SERGEANT RD,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,5150,Ran off road - straight,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191129853,20190026485,20190823,4609673,443524,09:58,Friday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,AURORA AVE & BEAVER AVE,Municipal Road,Municipal - Municipal,Property Damage Only,13500,Ran traffic signal,Alcohol (Statutory),31,>= 30 and <= 34,Male
20191129914,2019-69437,20190820,4603054,705089,02:22,Tuesday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E 32ND ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2500,Driver Distraction:  Manual operation of an electronic communication device,Refused,39,>= 35 and <= 39,Female
20191129965,20190026637,20190824,4605597,449786,17:18,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E UNIVERSITY AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,14200,Driver Distraction:  Other interior distraction,Alcohol (Statutory),35,>= 35 and <= 39,Male
20191129965,20190026637,20190824,4605597,449786,17:18,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E UNIVERSITY AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,14200,Driver Distraction:  Other interior distraction,Alcohol (Statutory),200,,Male
20191129965,20190026637,20190824,4605597,449786,17:18,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E UNIVERSITY AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,14200,Driver Distraction:  Other interior distraction,Alcohol (Statutory),26,>= 25 and <= 29,Male
20191129965,20190026637,20190824,4605597,449786,17:18,Saturday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E UNIVERSITY AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,14200,Driver Distraction:  Other interior distraction,Alcohol (Statutory),54,>= 50 and <= 54,Male
20191129981,19-006704,20190728,4757798,644351,00:59,Sunday,Clayton,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,IVORY RD,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,8000,Driving too fast for conditions,Alcohol (Statutory),19,= 19,Male
20191129992,PD19-02210,20190824,4654787,507747,04:10,Saturday,Marshall,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S 4TH AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2800,Other,Alcohol (Statutory),17,= 17,Female
20191129992,PD19-02210,20190824,4654787,507747,04:10,Saturday,Marshall,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S 4TH AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2800,Other,Alcohol (Statutory),200,,Not reported
20191130026,201913751,20190825,4648222,610175,02:00,Sunday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,1ST ST NE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191130046,19-12376,20190825,4754981,311715,02:23,Sunday,Clay,Iowa Route,10,Westbound (WB),Mainline,Not reported,IA 10/IOWA 10 & 140TH AVE,Iowa Route,IA Route - Secondary,Property Damage Only,2500,Lost control,Alcohol (Statutory),16,= 16,Male
20191130049,1908-049,20190807,4815804,286184,01:05,Wednesday,Osceola,US Route,59,Northbound (NB),Mainline,Not reported,US 59,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,12000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),36,>= 35 and <= 39,Not reported
